URL,Label,Entity
http://vocab.getty.edu/aat/300022022##quaPlace,Coptic (Orthodox Christianity),place
http://vocab.getty.edu/aat/300021271##quaPerson,Louis XVI,person
http://vocab.getty.edu/aat/300021085##quaPerson,Louis XV,person
http://vocab.getty.edu/aat/300022022##quaGroup,Coptic (Orthodox Christianity),group
http://vocab.getty.edu/aat/300022022##quaPerson,Coptic (Orthodox Christianity),person
http://vocab.getty.edu/tgn/1100764##quaGroup,British Museum,group
http://vocab.getty.edu/tgn/7013269##quaGroup,Alexandria,group
http://vocab.getty.edu/tgn/7001188##quaPlace,Al Iskandarīyah,place
http://vocab.getty.edu/tgn/2002197##quaGroup,Alexandria,group
http://vocab.getty.edu/tgn/1001079##quaPlace,Al Iskandarīyah,place
http://vocab.getty.edu/tgn/2002197##quaPlace,Alexandria,place
http://vocab.getty.edu/tgn/7001188##quaGroup,Al Iskandarīyah,group
http://vocab.getty.edu/tgn/7016143##quaGroup,Carthage,group
http://vocab.getty.edu/tgn/7013269##quaPlace,Alexandria,place
http://vocab.getty.edu/tgn/7012346##quaPlace,Strasbourg,place
http://vocab.getty.edu/tgn/7014406##quaGroup,Philadelphia,group
http://vocab.getty.edu/tgn/7030288##quaType,Huitième Arrondissement,type
http://vocab.getty.edu/tgn/7017283##quaGroup,Glasgow,group
http://vocab.getty.edu/tgn/7008038##quaGroup,Paris,group
http://vocab.getty.edu/tgn/7008038##quaPlace,Paris,place
http://vocab.getty.edu/tgn/7012346##quaGroup,Strasbourg,group
http://vocab.getty.edu/tgn/1001079##quaGroup,Al Iskandarīyah,group
http://vocab.getty.edu/tgn/7008038##quaType,Paris,type
http://vocab.getty.edu/tgn/7013269##quaPerson,Alexandria,person
http://vocab.getty.edu/tgn/2002197##quaPerson,Alexandria,person
http://vocab.getty.edu/tgn/1001079##quaPerson,Al Iskandarīyah,person
http://vocab.getty.edu/tgn/7001188##quaPerson,Al Iskandarīyah,person
http://vocab.getty.edu/ulan/500267593##quaGroup,Art Gallery of New South Wales,group
http://vocab.getty.edu/ulan/500309817##quaGroup,National Gallery of Canada,group
http://vocab.getty.edu/ulan/500445861##quaGroup,Addison Gallery of American Art,group
http://vocab.getty.edu/ulan/500098282##quaGroup,"Fenner, Sears & Co.",group
http://vocab.getty.edu/ulan/500277801##quaGroup,Bernard Jacobson Gallery,group
http://vocab.getty.edu/ulan/500125180##quaGroup,British Museum,group
http://vocab.getty.edu/ulan/500047609##quaPerson,"Wizani, Friedrich",person
http://vocab.getty.edu/ulan/500023578##quaPerson,Raphael,person
http://vocab.getty.edu/ulan/500119249##quaPerson,"Leslie, George Dunlop",person
http://vocab.getty.edu/ulan/500006208##quaPerson,Correggio,person
http://vocab.getty.edu/ulan/500017511##quaPerson,"Borch, Gerard ter, the younger",person
http://vocab.getty.edu/ulan/500356130##quaPerson,"Yiadom-Boakye, Lynette",person
http://vocab.getty.edu/ulan/500031075##quaPerson,Titian,person
http://vocab.getty.edu/ulan/500011328##quaPerson,"Rosa, Salvator",person
http://vocab.getty.edu/ulan/500025407##quaPerson,"Brunias, Agostino",person
http://vocab.getty.edu/ulan/500015257##quaPerson,"Moran, Thomas",person
http://vocab.getty.edu/ulan/500317837##quaPerson,"Foscari, Francesco, Doge of Venice",person
http://vocab.getty.edu/ulan/500005591##quaPerson,"Mieris, Frans van, I",person
http://vocab.getty.edu/ulan/500354574##quaPerson,"Facius, Georg Sigmund",person
http://vocab.getty.edu/ulan/500018075##quaPerson,"Worthington, William Henry",person
http://vocab.getty.edu/ulan/500005218##quaPerson,"Simpson, William",person
http://vocab.getty.edu/ulan/500000119##quaPerson,"Greuze, Jean-Baptiste",person
http://vocab.getty.edu/ulan/500166710##quaPerson,"Robertson, Eric",person
http://vocab.getty.edu/ulan/500025133##quaPerson,"Meulen, Adam Frans van der",person
http://vocab.getty.edu/ulan/500022428##quaPerson,"Victoria, Queen of Great Britain",person
http://vocab.getty.edu/ulan/500031062##quaPerson,"Affleck, Andrew F.",person
http://vocab.getty.edu/ulan/500115559##quaPerson,"Coplans, John",person
http://vocab.getty.edu/ulan/500117086##quaPerson,"Quellinus, Erasmus, II",person
http://vocab.getty.edu/ulan/500091155##quaPerson,"Dater, Judy",person
http://vocab.getty.edu/ulan/500008896##quaPerson,"Armitage, Kenneth",person
http://vocab.getty.edu/ulan/500115299##quaPerson,"Castiglione, Giovanni Benedetto",person
http://vocab.getty.edu/ulan/500109817##quaPerson,"Gautier, Lucien Marcelin",person
