vocab,lux,ycba,yuag
http://vocab.getty.edu/aat/300264363##quaType,https://lux.collections.yale.edu/data/concept/57432259-27c3-466f-9af9-508154454b55,https://ycba-lux.s3.amazonaws.com/v3/concept/03/0370833b-aa18-47fd-b183-26060baa05d5.json##quaType,
http://vocab.getty.edu/aat/300375682##quaType,https://lux.collections.yale.edu/data/concept/22335a65-a807-4319-8cf6-70e9b3245b70,https://ycba-lux.s3.amazonaws.com/v3/concept/54/54e41ea9-99e2-40ac-b059-55bfd2307b31.json##quaType,
http://vocab.getty.edu/aat/300343543##quaType,https://lux.collections.yale.edu/data/concept/7d67fa81-9641-43a1-bf14-ee440d459233,https://ycba-lux.s3.amazonaws.com/v3/concept/08/0865e94b-7836-47b6-8489-69c0b4f8ec72.json##quaType,
http://vocab.getty.edu/aat/300310193##quaType,https://lux.collections.yale.edu/data/concept/1b216b91-8179-4823-9380-d51dfdea188b,https://ycba-lux.s3.amazonaws.com/v3/concept/29/29fa87e4-d633-4ed1-b6d0-bf06bab6b8fd.json##quaType,
http://vocab.getty.edu/aat/300379750##quaType,https://lux.collections.yale.edu/data/concept/6e40bec9-0bf4-47d6-8717-1ffa7a08a48e,https://ycba-lux.s3.amazonaws.com/v3/concept/07/07d413f4-5a0b-4b72-b4e2-85d231b8c5a6.json##quaType,
http://vocab.getty.edu/aat/300008739##quaType,https://lux.collections.yale.edu/data/concept/5d6e2205-a138-44fc-9166-1bd5f2e93fa3,https://ycba-lux.s3.amazonaws.com/v3/concept/29/29a494ca-1f0b-4dd2-b88f-8fd5f1867412.json##quaType,
http://vocab.getty.edu/aat/300046128##quaType,https://lux.collections.yale.edu/data/concept/2e3beb5a-4988-4fd4-87bd-89ad1239696d,https://ycba-lux.s3.amazonaws.com/v3/concept/49/4975d72f-9615-4b27-aea9-22a67e90ee93.json##quaType,
http://vocab.getty.edu/aat/300185684##quaType,https://lux.collections.yale.edu/data/concept/b8871c23-68c5-42bf-9164-fdab5a30b06d,https://ycba-lux.s3.amazonaws.com/v3/concept/0d/0d32985f-00ec-48bf-a37c-f00be7875e4c.json##quaType,
http://vocab.getty.edu/aat/300379594##quaType,https://lux.collections.yale.edu/data/concept/9e389f4c-3275-4f82-8d62-b04f4e4fd014,https://ycba-lux.s3.amazonaws.com/v3/concept/18/18669cd2-17c0-413f-aaa4-5ed735554f52.json##quaType,
http://vocab.getty.edu/aat/300419976##quaType,https://lux.collections.yale.edu/data/concept/e639c92a-ab16-4c2d-8b71-268f7b88deee,https://ycba-lux.s3.amazonaws.com/v3/concept/a2/a2ff8fe1-9f08-423e-b691-00ae5afd6c4b.json##quaType,
http://vocab.getty.edu/aat/300025774##quaType,https://lux.collections.yale.edu/data/concept/132df268-6035-48ae-b927-e037cb38927d,https://ycba-lux.s3.amazonaws.com/v3/concept/21/212b29f0-6982-42a6-9d33-e63837dd4085.json##quaType,
http://vocab.getty.edu/aat/300011827##quaType,https://lux.collections.yale.edu/data/concept/e0864633-b2b5-44b4-bad7-53935a15980b,https://ycba-lux.s3.amazonaws.com/v3/concept/fb/fb24442b-b68e-40b9-8ea6-b668fdd2a44d.json##quaType,
http://vocab.getty.edu/aat/300343852##quaType,https://lux.collections.yale.edu/data/concept/6891f2d0-455f-47f9-96d6-b718c0a05fe2,https://ycba-lux.s3.amazonaws.com/v3/concept/10/10a3522b-b07b-449a-ab67-293e2da3d88d.json##quaType,
http://vocab.getty.edu/aat/300250041##quaType,https://lux.collections.yale.edu/data/concept/d35ae496-bc7c-43f4-9380-65ef85caa0fc,https://ycba-lux.s3.amazonaws.com/v3/concept/70/7055c319-99cd-4efc-8d12-83be67341d30.json##quaType,
http://vocab.getty.edu/aat/300250072##quaType,https://lux.collections.yale.edu/data/concept/36edc868-50e1-4ec2-baed-b6f105d9d709,https://ycba-lux.s3.amazonaws.com/v3/concept/a6/a63f8269-59cd-49bd-bf02-d8aaf42625bc.json##quaType,
http://vocab.getty.edu/aat/300073715##quaType,https://lux.collections.yale.edu/data/concept/56c8914b-fb0d-4af6-830c-7aa45d459396,https://ycba-lux.s3.amazonaws.com/v3/concept/4a/4aac72fd-a8a0-42b5-a78c-8828d6143c11.json##quaType,
http://vocab.getty.edu/aat/300025909##quaType,https://lux.collections.yale.edu/data/concept/2c1e401a-b589-495e-9e27-a87739e45e29,https://ycba-lux.s3.amazonaws.com/v3/concept/97/97bd8c4c-d24c-4a45-9aef-beea1848e113.json##quaType,
http://vocab.getty.edu/aat/300250224##quaType,https://lux.collections.yale.edu/data/concept/186fceeb-3cda-4a1c-8307-6109f36e103c,https://ycba-lux.s3.amazonaws.com/v3/concept/a4/a4e3fd04-88de-4094-ab34-4471ead5d752.json##quaType,
http://vocab.getty.edu/aat/300343850##quaType,https://lux.collections.yale.edu/data/concept/726ab984-d459-473b-bcd1-4d3407cf44a4,https://ycba-lux.s3.amazonaws.com/v3/concept/a1/a1cfd640-4e0a-462c-92b1-4977feed10d1.json##quaType,
http://vocab.getty.edu/aat/300379756##quaType,https://lux.collections.yale.edu/data/concept/925f4cc5-e296-44af-b48d-24502369d3d6,https://ycba-lux.s3.amazonaws.com/v3/concept/37/379453ab-1a68-47fd-b8e6-735f8cfbf001.json##quaType,
http://vocab.getty.edu/aat/300138242##quaType,https://lux.collections.yale.edu/data/concept/a2923563-e5cc-4cf2-8b38-0cf42e3818ca,https://ycba-lux.s3.amazonaws.com/v3/concept/1e/1ec15c50-1f04-48f6-b17b-02f346f7547c.json##quaType,
http://vocab.getty.edu/aat/300379338##quaType,https://lux.collections.yale.edu/data/concept/270c34e7-f19a-48f9-93aa-066a4179b4e6,https://ycba-lux.s3.amazonaws.com/v3/concept/d6/d637c738-728a-46c0-87ad-32753332c45e.json##quaType,
http://vocab.getty.edu/aat/300379595##quaType,https://lux.collections.yale.edu/data/concept/5dfc16c9-50ea-4648-8a20-1aa4340aff05,https://ycba-lux.s3.amazonaws.com/v3/concept/34/345feb0d-bbaa-4b84-a43a-6c046e2ca7fe.json##quaType,
http://vocab.getty.edu/aat/300054559##quaType,https://lux.collections.yale.edu/data/concept/8716e5ca-03c9-48ac-bdfe-2355d2c58ae0,https://ycba-lux.s3.amazonaws.com/v3/concept/80/80f677c4-50fe-4f79-b74e-cfd739d9a53a.json##quaType,
http://vocab.getty.edu/aat/300262568##quaType,https://lux.collections.yale.edu/data/concept/2b258cc4-3798-4d9d-8a2b-9179e5a36ca7,https://ycba-lux.s3.amazonaws.com/v3/concept/51/51cc2cc8-fbb8-4e41-85b8-1c8fa8e866c4.json##quaType,
http://vocab.getty.edu/aat/300379821##quaType,https://lux.collections.yale.edu/data/concept/9f5799b0-eed2-4dcf-8ffe-4b24ca71ec6a,https://ycba-lux.s3.amazonaws.com/v3/concept/3b/3b0511de-a69c-4f33-8080-c12404b3ae71.json##quaType,
http://vocab.getty.edu/aat/300133097##quaType,https://lux.collections.yale.edu/data/concept/9111361a-e077-479f-a1b0-97d96066be21,https://ycba-lux.s3.amazonaws.com/v3/concept/e6/e632c40d-64c6-4a88-9fc3-663529e1f887.json##quaType,
http://vocab.getty.edu/aat/300435319##quaType,https://lux.collections.yale.edu/data/concept/ad41d45f-5db5-4e92-b21a-5ff90ae4b142,https://ycba-lux.s3.amazonaws.com/v3/concept/7e/7e610471-d7f9-46cc-b9a7-8f2ebba29182.json##quaType,
http://vocab.getty.edu/aat/300022041##quaType,https://lux.collections.yale.edu/data/concept/05d1999a-62b1-49e6-a37a-59e83976b9d9,https://ycba-lux.s3.amazonaws.com/v3/concept/4e/4e0a522e-0918-486d-a3c8-cbba0ae7c30d.json##quaType,
http://vocab.getty.edu/aat/300073723##quaType,https://lux.collections.yale.edu/data/concept/03ee84e3-baf6-40f1-b326-f70e83900953,https://ycba-lux.s3.amazonaws.com/v3/concept/ec/ecadd54a-ebdb-4df6-852b-2f707fa871ac.json##quaType,
http://vocab.getty.edu/aat/300250036##quaType,https://lux.collections.yale.edu/data/concept/df89320f-6940-4703-8ca9-a1bc306f5ade,https://ycba-lux.s3.amazonaws.com/v3/concept/70/7006caa7-6441-460a-add0-7130ec9aa98d.json##quaType,
http://vocab.getty.edu/aat/300417502##quaType,https://lux.collections.yale.edu/data/concept/77d3b0ce-08e9-4639-bb5a-1f785b8afa96,https://ycba-lux.s3.amazonaws.com/v3/concept/bc/bce8adac-f2bd-4d8a-ad83-e9fec883057a.json##quaType,
http://vocab.getty.edu/aat/300073711##quaType,https://lux.collections.yale.edu/data/concept/64196c08-0784-40d0-aa5a-41d49442b153,https://ycba-lux.s3.amazonaws.com/v3/concept/e9/e9ae016e-bc12-4f36-aec4-0b09b2c480ab.json##quaType,
http://vocab.getty.edu/aat/300263109##quaType,https://lux.collections.yale.edu/data/concept/c6fdd9d8-33d3-4ab6-8fb2-76b0d359f5a1,https://ycba-lux.s3.amazonaws.com/v3/concept/48/48d0edac-6ab4-433a-96f8-bd130b6f0f80.json##quaType,
http://vocab.getty.edu/aat/300262831##quaType,https://lux.collections.yale.edu/data/concept/5ddc1284-bf0a-49e5-8935-a85f4359277f,https://ycba-lux.s3.amazonaws.com/v3/concept/3f/3f884df0-60c1-4827-9a16-ba5d9cb368b1.json##quaType,
http://vocab.getty.edu/aat/300008694##quaType,https://lux.collections.yale.edu/data/concept/d992a3da-6ee7-4146-8cab-3a730842ffa0,https://ycba-lux.s3.amazonaws.com/v3/concept/f1/f1d04ce2-548a-4f8b-9df1-247140762ca9.json##quaType,
http://vocab.getty.edu/aat/300379004##quaType,https://lux.collections.yale.edu/data/concept/fc170003-77f8-49d4-b8bc-22c781e9da7f,https://ycba-lux.s3.amazonaws.com/v3/concept/e5/e5131e61-6c48-40b2-809d-2c6f29a197eb.json##quaType,
http://vocab.getty.edu/aat/300202527##quaType,https://lux.collections.yale.edu/data/concept/2e873886-471d-4683-adb2-8dc6d652b7af,https://ycba-lux.s3.amazonaws.com/v3/concept/4d/4d2a8255-3801-4e2b-aa41-e658b69d10b7.json##quaType,
http://vocab.getty.edu/aat/300263064##quaType,https://lux.collections.yale.edu/data/concept/c4719eeb-8f77-4c76-a15f-53ffa3ec5453,https://ycba-lux.s3.amazonaws.com/v3/concept/9b/9be7830b-b9e1-46bc-af86-ffaacfe1190a.json##quaType,
http://vocab.getty.edu/aat/300025933##quaType,https://lux.collections.yale.edu/data/concept/96b1c0f5-b8c0-43ac-8d39-97f39b207af5,https://ycba-lux.s3.amazonaws.com/v3/concept/bc/bc70387c-f845-42f6-bbf5-3ece007ed19d.json##quaType,
http://vocab.getty.edu/aat/300379284##quaType,https://lux.collections.yale.edu/data/concept/4dd61741-5e3b-4863-9914-09c5d5c5e38b,https://ycba-lux.s3.amazonaws.com/v3/concept/ef/ef4fa9dd-4948-4818-bad3-5acca82adba1.json##quaType,
http://vocab.getty.edu/aat/300025474##quaType,https://lux.collections.yale.edu/data/concept/a4b07902-4b1a-4c09-9f5a-e08c466387d9,https://ycba-lux.s3.amazonaws.com/v3/concept/5d/5de0df8c-a71d-4bf3-b7f1-087e49233700.json##quaType,
http://vocab.getty.edu/aat/300266271##quaType,https://lux.collections.yale.edu/data/concept/6956c90d-00f3-44e9-b8ca-7f22cf5758a7,https://ycba-lux.s3.amazonaws.com/v3/concept/c0/c00b3859-694d-40e1-b745-b260268dbead.json##quaType,
http://vocab.getty.edu/aat/300250249##quaType,https://lux.collections.yale.edu/data/concept/44372a33-4d10-45fb-8298-ed2eaa820279,https://ycba-lux.s3.amazonaws.com/v3/concept/40/40a4ed23-9cea-49a3-8bc7-54baba9e8d99.json##quaType,
http://vocab.getty.edu/aat/300021140##quaType,https://lux.collections.yale.edu/data/concept/2c37727f-528f-4f63-a2ce-3572e06b4622,https://ycba-lux.s3.amazonaws.com/v3/concept/53/531415dd-1a4b-4890-bbfd-e32e25a2c745.json##quaType,
http://vocab.getty.edu/aat/300264372##quaType,https://lux.collections.yale.edu/data/concept/f269f437-744f-40b6-bef9-25ca4a0a13c6,https://ycba-lux.s3.amazonaws.com/v3/concept/64/6476bc26-55be-4caa-8cea-2cd448219e77.json##quaType,
http://vocab.getty.edu/aat/300054171##quaType,https://lux.collections.yale.edu/data/concept/2e31adc5-47f1-4fe5-a44d-2c8fcd8e298f,https://ycba-lux.s3.amazonaws.com/v3/concept/ae/aefa74c6-c73b-46e4-ad17-d1ccbbfab141.json##quaType,
http://vocab.getty.edu/aat/300250870##quaType,https://lux.collections.yale.edu/data/concept/99ec8b62-e5ac-4fd7-971d-d7caa2920a02,https://ycba-lux.s3.amazonaws.com/v3/concept/c0/c0dcb7a9-5ed4-4762-aaf9-31060ce7aa9f.json##quaType,
http://vocab.getty.edu/aat/300155241##quaType,https://lux.collections.yale.edu/data/concept/13b8f7fc-b3d0-4f88-9498-aa04dfa59432,https://ycba-lux.s3.amazonaws.com/v3/concept/97/9784a7b5-c9b7-4e46-9229-938146ec08c3.json##quaType,
http://vocab.getty.edu/aat/300310200##quaType,https://lux.collections.yale.edu/data/concept/b04e1bca-2a24-4301-a391-7324678389aa,https://ycba-lux.s3.amazonaws.com/v3/concept/86/86973d51-03be-420a-ab5c-fe418249b1f1.json##quaType,
http://vocab.getty.edu/aat/300375307##quaType,https://lux.collections.yale.edu/data/concept/02dcc79a-19b1-4980-bdd8-732c0165a359,https://ycba-lux.s3.amazonaws.com/v3/concept/8a/8a38b0c6-6a37-4f4d-a9fd-72500d2dccf1.json##quaType,
http://vocab.getty.edu/aat/300235044##quaType,https://lux.collections.yale.edu/data/concept/95083191-a970-4f68-9c2d-faceb64dde5c,https://ycba-lux.s3.amazonaws.com/v3/concept/95/958db4bd-9502-41ac-af6f-d8ea306ca56d.json##quaType,
http://vocab.getty.edu/aat/300025136##quaType,https://lux.collections.yale.edu/data/concept/a66c6591-6f04-4a3b-9753-6bb3ee430aa1,https://ycba-lux.s3.amazonaws.com/v3/concept/80/80253bd2-7aa0-4e92-afb2-b9c24c676d63.json##quaType,
http://vocab.getty.edu/aat/300249063##quaType,https://lux.collections.yale.edu/data/concept/356761fa-f68f-47ba-ba97-9bf851fd6de7,https://ycba-lux.s3.amazonaws.com/v3/concept/ca/cae25d76-2c5b-4f15-9626-d129d7ecc61d.json##quaType,
http://vocab.getty.edu/aat/300250295##quaType,https://lux.collections.yale.edu/data/concept/90f3eb5d-e5e6-4df8-9b13-dd73ffb399aa,https://ycba-lux.s3.amazonaws.com/v3/concept/e9/e99df300-f6b8-4df6-a1e3-80bbaf3536e7.json##quaType,
http://vocab.getty.edu/aat/300055916##quaType,https://lux.collections.yale.edu/data/concept/d0ca94ce-a6c4-406b-8ac9-4ffb8db85094,https://ycba-lux.s3.amazonaws.com/v3/concept/c3/c3f6fcce-357c-4846-bfe9-3b4ebf0fddc0.json##quaType,
http://vocab.getty.edu/aat/300400468##quaType,https://lux.collections.yale.edu/data/concept/9f95e93f-f743-4ce4-8751-4cfb37ccd5f6,https://ycba-lux.s3.amazonaws.com/v3/concept/da/daf5de30-0beb-4328-8701-2d21123295ba.json##quaType,
http://vocab.getty.edu/aat/300201026##quaType,https://lux.collections.yale.edu/data/concept/d0ca94ce-a6c4-406b-8ac9-4ffb8db85094,https://ycba-lux.s3.amazonaws.com/v3/concept/c3/c3f6fcce-357c-4846-bfe9-3b4ebf0fddc0.json##quaType,
http://vocab.getty.edu/aat/300204969##quaType,https://lux.collections.yale.edu/data/concept/6eb1659c-f74d-4e78-a4a9-831f999fd2fd,https://ycba-lux.s3.amazonaws.com/v3/concept/b7/b717eec0-e7ea-4f30-8123-d242055b26f6.json##quaType,
http://vocab.getty.edu/aat/300266444##quaType,https://lux.collections.yale.edu/data/concept/dce05ff6-6044-4163-a126-ae149bdedbd0,https://ycba-lux.s3.amazonaws.com/v3/concept/cf/cf7694a4-86ff-4aaf-b450-720931147ae9.json##quaType,
http://vocab.getty.edu/aat/300128438##quaType,https://lux.collections.yale.edu/data/concept/138376ab-3d14-4165-a544-124f63656afc,https://ycba-lux.s3.amazonaws.com/v3/concept/e3/e33cab99-a5af-4408-b169-376e58b48c9f.json##quaType,
http://vocab.getty.edu/aat/300400495##quaType,https://lux.collections.yale.edu/data/concept/4903d3eb-8546-4391-bde1-b25a3b932ca8,https://ycba-lux.s3.amazonaws.com/v3/concept/e7/e7af569c-09d8-47d2-9323-49858754179f.json##quaType,
http://vocab.getty.edu/aat/300400484##quaType,https://lux.collections.yale.edu/data/concept/c7b0d654-c57d-4508-b668-3bc2cec7dd7e,https://ycba-lux.s3.amazonaws.com/v3/concept/f0/f0edd8aa-11a0-4403-aa05-6ac330e61852.json##quaType,
http://vocab.getty.edu/aat/300310320##quaType,https://lux.collections.yale.edu/data/concept/9bef5c00-3bc5-4124-a296-bc25ce5515e6,https://ycba-lux.s3.amazonaws.com/v3/concept/f0/f0a3b720-52e1-4702-810e-743c963df639.json##quaType,
http://vocab.getty.edu/aat/300022022##quaPlace,https://lux.collections.yale.edu/data/place/e6961042-5e78-4a44-a1a0-b912b7a6b36e,https://ycba-lux.s3.amazonaws.com/v3/place/e8/e8efad78-2bf7-48ad-894f-658840a75d13.json##quaPlace,https://media.art.yale.edu/content/lux/agt/20307.json##quaPlace
http://vocab.getty.edu/aat/300019046##quaPlace,https://lux.collections.yale.edu/data/place/92e8a712-029b-4230-92bb-7707bc15a6ef,https://ycba-lux.s3.amazonaws.com/v3/place/ad/adf77fa9-d3b0-4bb5-91a5-89985a97f5d6.json##quaPlace,
http://vocab.getty.edu/aat/300021949##quaPlace,https://lux.collections.yale.edu/data/place/a7df2776-1d82-45b5-a757-fcdadbe8b66c,https://ycba-lux.s3.amazonaws.com/v3/place/14/14e40134-f0e3-4277-8eaf-25c49c009368.json##quaPlace,
http://vocab.getty.edu/aat/300021271##quaPerson,https://lux.collections.yale.edu/data/person/c708693a-d23d-4b61-a744-42f1b5c1be1a,https://ycba-lux.s3.amazonaws.com/v3/person/87/876ab79a-f782-408e-bb9e-ec7f4a84bf91.json##quaPerson,https://media.art.yale.edu/content/lux/agt/29972.json##quaPerson
http://vocab.getty.edu/aat/300021085##quaPerson,https://lux.collections.yale.edu/data/person/a474c380-7c12-4b2d-895e-49e9a37d30d7,https://ycba-lux.s3.amazonaws.com/v3/person/ef/ef02b1e3-2d13-4039-bb65-fd60c0320aac.json##quaPerson,https://media.art.yale.edu/content/lux/agt/21423.json##quaPerson
http://vocab.getty.edu/aat/300385955##quaPlace,https://lux.collections.yale.edu/data/place/9c6760fe-5e5b-48cb-9840-f60f4af724bc,https://ycba-lux.s3.amazonaws.com/v3/place/0b/0bc40739-b911-4d8f-9a45-9625de22a911.json##quaPlace,
http://vocab.getty.edu/aat/300018752##quaPlace,https://lux.collections.yale.edu/data/place/f5d62119-98c0-4fa5-9f8c-46523d3e2b5c,https://ycba-lux.s3.amazonaws.com/v3/place/85/85ce7bf7-faa4-4d51-b371-d7ab8105d773.json##quaPlace,
http://vocab.getty.edu/aat/300021916##quaPlace,https://lux.collections.yale.edu/data/place/5be16c80-65aa-486a-8884-98f5114c472a,https://ycba-lux.s3.amazonaws.com/v3/place/91/91baf4ec-511d-4f2c-9adc-0836b19d47dc.json##quaPlace,
